City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
254,vorkuta,67.5,64.0,0.36,96,100,3.22,RU,1743789893
255,savanna-la-mar,18.219,-78.1332,82.92,64,29,5.79,JM,1743789894
256,magog,45.2668,-72.1491,40.82,60,99,12.66,CA,1743789895
257,baardheere,2.3446,42.2764,88.84,52,71,18.52,SO,1743789896
258,oriximina,-1.7656,-55.8661,85.93,66,89,2.77,BR,1743789897
259,port augusta,-32.5,137.7667,53.64,66,0,8.3,AU,1743789898
260,axim,4.8699,-2.2405,81.75,82,27,9.01,GH,1743789899
261,muisne,0.6,-80.0333,83.5,72,50,7.83,EC,1743789901
262,puerto deseado,-47.7503,-65.8938,53.67,42,63,23.35,AR,1743789902
263,saint-francois,46.4154,3.9054,65.64,48,0,3.44,FR,1743789903
264,la passe,45.5549,-0.8967,63.93,73,100,8.93,FR,1743789904
265,pogoanele,44.9167,27.0,53.44,73,96,0.89,RO,1743789905
266,mutuali,-14.8706,37.0044,67.71,90,82,3.4,MZ,1743789906
267,asau,46.4333,26.4,50.56,68,46,3.98,RO,1743789908
268,turriff,57.5384,-2.4593,45.81,76,60,8.93,GB,1743789909
269,tromso,69.6496,18.957,26.62,63,40,4.61,NO,1743789910
270,ust-nera,64.5667,143.2,-7.85,96,38,1.9,RU,1743789911
271,benjamin constant,-4.3831,-70.0311,75.33,94,75,4.61,BR,1743789913
272,ellsworth,44.5434,-68.4195,53.26,51,75,13.0,US,1743789742
273,lagoa,39.05,-27.9833,52.77,71,100,28.83,PT,1743789915
274,makinsk,52.6292,70.4169,32.79,83,72,11.92,KZ,1743789916
275,omdurman,15.6445,32.4777,95.07,9,7,17.96,SD,1743789724
276,hwange,-18.3693,26.5019,76.59,55,68,3.89,ZW,1743789919
277,yamethin,20.4333,96.15,80.49,30,10,6.44,MM,1743789920
278,mbandaka,0.0487,18.2603,79.93,70,85,3.67,CD,1743789921
279,flin flon,54.7682,-101.865,19.24,53,20,12.66,CA,1743789922
280,hobyo,5.3505,48.5268,83.01,68,18,13.58,SO,1743789923
